input,target,gpt_prediction,mixed_model_prediction,gpt_smooth_bleu_score,mixed_model_smooth_bleu_score,,,,,,,,,,
"summarize: def get_sections_with_students_in_course_by_sis_id(self, sis_course_id,
                                                       params={}):
        """"""
        
        """"""
        return self.get_sections_with_students_in_course(
            self._sis_id(sis_course_id, sis_field=""course""), params)",Return list of sections including students for the passed sis ID.,Returns the sections of the students for the given course.,Returns a list of SAS students in any subsections.,54.10592909,47.33838495,50.72215702,,,,,,,,,
"summarize: def set_logging_level(level=None):
    """"""
    """"""
    if level is None:
        level = os.environ.get('NEUROSYNTH_LOGLEVEL', 'warn')
    if level is not None:
        logger.setLevel(getattr(logging, level.upper()))
    return logger.getEffectiveLevel()",Set neurosynth's logging level,Set level of logging levels to scan,Set logging level logging,48.32697831,53.11051061,50.71874446,,,,,,,,,
"summarize: def get_public_tokens(self):
        """"""
        
        """"""
        r = self.remote_utils.get_url(self.url() + ""public_tokens/"")
        return r.json()",Get a list of public tokens available on this server.,Get a list of public tokens from the public tokens,Returns the public tokens of the given public_tokens.,59.46956002,41.88604164,50.67780083,,,,,,,,,
"summarize: def _get_axis_mode(self, axis):
        """"
        if all([isinstance(getattr(s, axis), TimeVariable) for s in self._series]):
            return 'time'
        return None",will get the axis mode for the current series,Get the modes of an axis mode for the axis.,Return any of the axis modes of the axis.,58.03900843,43.17779301,50.60840072,,,,,,,,,
"summarize: def safe_decode(line, encoding, *args, **kwargs):
    """"""""""""
    try:
        return line.decode(encoding or sys.getdefaultencoding(), *args, **kwargs)
    except LookupError:
        return line.decode(sys.getdefaultencoding(), *args, **kwargs)",return decoded line from encoding or decode with default encoding,return encoding Safe decode and return a decoded description.,Make a decoding of line and returns a valid value of the decoded encoding.,50.49576277,50.36169073,50.42872675,,,,,,,,,
"summarize: def user_config_file(self):
        """"""""""""
        return os.path.join(
            get_user_config_dir(self.app_name, self.app_author),
            self.filename)",Get the absolute path to the user config file.,Returns the user config files that are an accessible.,Get the user configuration file from the given pointer.,49.80519074,50.95958162,50.38238618,,,,,,,,,
"summarize: def read_config_(self, cfile):
        """"""
        """"""
        if not cfile.exists():
            return {}
        try:
            conf_dict = toml.load(str(cfile))
        except toml.TomlDecodeError:
            return None
        self.update_(conf_dict)
        return conf_dict",Read a config file and set config values accordingly.,Reads a config file and returns the config file.,Ensure a config filename of the corpus configuration.,56.81069026,43.94943775,50.38006401,,,,,,,,,
"summarize: def raw_filter(self, filters):
        """"""
        """"""
        return SearchResult(self, self._api.get(self._href, **{""filter[]"": filters}))",Sends all filters to the API.,Add a list of filters to the filter.,All filters the given filter.,47.63673575,53.01983385,50.3282848,,,,,,,,,
"summarize: def _get_gc_content(sequence, length):
        """"""

        """"""

        # Get AT/GC/N counts
        at = sum(map(sequence.count, [""A"", ""T""]))
        gc = sum(map(sequence.count, [""G"", ""C""]))
        n = length - (at + gc)

        # Get AT/GC/N proportions
        at_prop = at / length
        gc_prop = gc / length
        n_prop = n / length

        return {""at"": at, ""gc"": gc, ""n"": n,
                ""at_prop"": at_prop, ""gc_prop"": gc_prop, ""n_prop"": n_prop}",Get GC content and proportions.,Get AT Counts GC/N proportions,Get aggregated prop proportion.,50.99684195,49.61485877,50.30585036,,,,,,,,,
"summarize: def get_allocations(self, prefix=None):
        """""" 
        """"""
        params = {""prefix"": prefix}
        return self.request(method=""get"", params=params).json()",Lists all the allocations.,Get allocations for the prefix,Gets allocations for all the given prefix.,50.70399082,49.61566634,50.15982858,,,,,,,,,
"summarize: def resolve_streams(wait_time=1.0):
    """"""

    """"""
    # noinspection PyCallingNonCallable
    buffer = (c_void_p*1024)()
    num_found = lib.lsl_resolve_all(byref(buffer), 1024, c_double(wait_time))
    return [StreamInfo(handle=buffer[k]) for k in range(num_found)]",Resolve all streams on the network.,Resolves the streams in the job.,Return a solve stream of the buffer.,54.68792366,45.47912444,50.08352405,,,,,,,,,
"summarize: def get_single(group, name, path=None):
    """"""
    """"""
    for config, distro in iter_files_distros(path=path):
        if (group in config) and (name in config[group]):
            epstr = config[group][name]
            with BadEntryPoint.err_to_warnings():
                return EntryPoint.from_string(epstr, name, distro)

    raise NoSuchEntryPoint(group, name)",Find a single entry point.,Get the single entry point.,Gets a single single single local config.,73.37557033,26.68269328,50.02913181,,,,,,,,,
"summarize: def translate_symbol(self, in_symbol: str) -> str:
        """"""  """"""
        # read all mappings from the db
        if not self.symbol_maps:
            self.__load_symbol_maps()
        # translate the incoming symbol
        result = self.symbol_maps[in_symbol] if in_symbol in self.symbol_maps else in_symbol

        return result",translate the incoming symbol into locally-used,Translate an incoming symbol to the incoming symbol.,Translate the symbols to the db.,60.31980233,39.22906674,49.77443454,,,,,,,,,
"summarize: def command_for_func(func):
    """"""""""""

    class FuncCommand(BaseCommand):

        def run(self):
            func()
            update_package_data(self.distribution)

    return FuncCommand",Create a command that calls the given function.,(func) Starts the command for the given function.,(func) Returns the command in the UPDATESTANCYMES,63.04866875,36.14570331,49.59718603,,,,,,,,,
"summarize: def _send_post_request(self, path, data, headers):
        """"""
        
        """"""

        r = requests.post(self.endpoint + path, data=data, headers=headers)
        return r.text",Sends the POST request to the Route53 endpoint.,", r.text Retrieves the post request to the location.",.strip() Sends the request to the post request.,43.46224854,55.69316655,49.57770755,,,,,,,,,
"summarize: def validate_access_token(self, client_key, token, request):
        """"""""""""
        log.debug('Validate access token %r for %r',
                  token, client_key)
        tok = request.access_token or self._tokengetter(
            client_key=client_key,
            token=token,
        )
        if tok:
            request.access_token = tok
            return True
        return False",Validates access token is available for client.,Validate access token and return if it exists.,Validate access token to the access token,50.47229488,48.66587658,49.56908573,,,,,,,,,
"summarize: def copy(self):
        """"""""""""
        layout_copy = type(self)()

        layout_copy._p2v = self._p2v.copy()
        layout_copy._v2p = self._v2p.copy()

        return layout_copy",Returns a copy of a Layout instance.,Returns a single layout copy of the layout count.,Returns the copy of the layout_copy.,46.49934468,52.41484725,49.45709597,,,,,,,,,
"summarize: def get_pull_request(app, repo_config, pull_request):
    """"""
    """"""
    response = get_api_response(
        app, repo_config,
        ""/repos/{{repo_name}}/pulls/{0}"".format(pull_request))
    if not response.ok:
        raise Exception(""Unable to get pull request: status code {}"".format(response.status_code))
    return response.json",Data for a given pull request.,() Gets the pull request.,() Retrieves a pull request.,46.23949784,52.67321812,49.45635798,,,,,,,,,
"summarize: def list_folder(self, folder_id=None):
        """"""

        """"""
        params = {'folder': folder_id} if folder_id else {}

        return self._get('file/listfolder', params=params)",Request a list of files and folders in specified folder.,Returns a list of folder folder folders for the given folder.,Lists a list of all folder ids and folder ids.,47.8072762,51.0582067,49.43274145,,,,,,,,,
"summarize: def from_string(cls, epstr, name, distro=None):
        """"""
        """"""
        m = entry_point_pattern.match(epstr)
        if m:
            mod, obj, extras = m.group('modulename', 'objectname', 'extras')
            if extras is not None:
                extras = re.split(r',\s*', extras)
            return cls(name, mod, obj, extras, distro)
        else:
            raise BadEntryPoint(epstr)",Parse an entry point from the syntax in entry_points.txt,Create an entry point from the given ``EntryPoint``,Create a single entrypoint from the property URL.,57.49671767,41.35012001,49.42341884,,,,,,,,,
