input,target,gpt_prediction,mixed_model_prediction,gpt_smooth_bleu_score,mixed_model_smooth_bleu_score
generate: Converts an array to its voxel list.,"def to_voxels(array):
    """"""
    
    """"""
    if type(array) is not numpy.ndarray:
        raise ValueError(""array argument must be of type numpy.ndarray"")
    return numpy.argwhere(array)","def _get_array_to_array(array, vec): """""""""""" array = np.array(array) array = np.array(array, dtype=np.float64) return array","def _copy_array(self): """""" """""" if self._is_array(self._is_array): return self._is_array(self._is_array) else: return self._is_array(self._is_array)",32.90776036,35.48527323
generate: Like the plaintext attribute but returns a generator,"def generate_plaintext_traceback(self):
        """"""""""""
        yield u'Traceback (most recent call last):'
        for frame in self.frames:
            yield u'  File ""%s"", line %s, in %s' % (
                frame.filename,
                frame.lineno,
                frame.function_name
            )
            yield u'    ' + frame.current_line.strip()
        yield self.exception","via implementation def get_plaintext_attribute(self, plaintext, attribute): """""" """""" attribute = plaintext.attribute if attribute is not None: return attribute.attribute return self.plaintext.attribute",". def _get_plaintext(self, plaintext): """""" """""" if not self._plaintext: raise Exception(""Can't get plaintext: %s"" % plaintext) url = self._build_url(plaintext) return self._get_plaintext(url, url)",18.97382622,21.72280663
generate: Enqueue task with specified data.,"def enqueue(self, data):
        """"""  """"""
        jsonified_data = json.dumps(data)
        with self._db_conn() as conn:
            return conn.execute(
                'INSERT INTO %s (created, data) VALUES (%%(created)s, %%(data)s)' % self.table_name,
                created=datetime.utcnow(),
                data=jsonified_data
            )","def enqueue(self, data): """""" """""" data = self.get_data(data) # Enqueue task with specified data async defined self.enqueue_task(data) self.enqueue_task(data) self.enqueue_task(data) self.enqueue_task(data) self.enqueue_task(data)","def _enqueue_task(self, data): """""" """""" task_id = self._task_id if self._task_id: # This is an empty date if self._task_id: self._task_id = data['id'] self._task_id = data['id'] # This is an empty list of empty list self._task_id = data['task_id'] return task_id",37.62204169,28.41058653
generate: Start the progress bar.,"def start(self, iterations):
        """"""
        """"""
        self.touched = True
        self.iter = int(iterations)
        self.t_start = time.time()","def start(self, timeout=None): """""" """""" self.start_progress = self.get_progress() self.stop() self.stop()","def start_progress(self, bar): """""" """""" self.start(bar) self.stop(bar) self.stop(bar) self.stop(bar)",47.84105445,41.50824873
generate: Pad strings in a given column.,"def str_pad(x, width, side='left', fillchar=' '):
    """"""
    """"""
    sl = _to_string_sequence(x).pad(width, fillchar, side in ['left', 'both'], side in ['right', 'both'])
    return column.ColumnStringArrow(sl.bytes, sl.indices, sl.length, sl.offset, string_sequence=sl)","def _generate_column_string_column(column_string, column_string, column_string): """""""""""" column_string = column_string.split(""\n"") if len(column_string)!= 1: column_string = column_string[0] column_string = column_string[:2] return column_string","def _get_pad_string(self, column): """""" """""" # Normalize column pad_str = self._get_pad_string(column) # Normalize column return self._get_pad_string(pad_str)",22.90137602,20.08181606
"generate: Run multiple commmands in a row, exiting if one fails.","def call_in_sequence(self, cmds, shell=True):
        """"""""""""
        for cmd in cmds:
            if subprocess.call(cmd, shell=shell) == 1:
                sys.exit(1)","def run_commit(self, row, commit=False): """""" """""" rows = [] if rows is None: rows = [] for i in range(rows): rows.append(rows) return rows","def run(self, row): """""""""""" if row == 0: row = self.exit(row) else: row = self.exit(row) return row",24.58653441,26.05278351
generate: Show optical flow.,"def flowshow(flow, win_name='', wait_time=0):
    """"""
    """"""
    flow = flowread(flow)
    flow_img = flow2rgb(flow)
    imshow(rgb2bgr(flow_img), win_name, wait_time)","def _show_optical_flow(self): """""""""""" # This function is valid. flow = self.optical_flow(self.flow) if flow.flow_name == self.flow_name: return flow else: return None","def show_optical(self, flow): """""" """""" flow_optical_optical(flow, flow, flow)",34.35747607,21.74090827
generate: Disables computation of the second derivatives for a tensor.,"def _prevent_2nd_derivative(x):
  """"""
  """"""
  def grad(dy):
    return array_ops.prevent_gradient(
        dy, message=""Second derivative is not implemented."")

  return tf.identity(x), grad","def verify_second_document_for_tensor(tensor, tensor_id): """""" """""" tensor = Tensor() for tensor_id in tensor.values(): tensor.document_for_tensor(tensor_id) return tensor","def second_dot(self, tensor): """""" """""" if self._computation_deprecated: self._computation_deprecated = False else: self._computation_deprecated = True return self._computation_deprecated",27.47042294,23.1645091
generate: LIST command.,"def list(self, keyword=None, arg=None):
        """"""
        """"""
        return [x for x in self.list_gen(keyword, arg)]","def get_command(self, command): """""" """""" if self.get_command(command) == self.commands: return self.get_command(command) else: return self.get_command(command)","def _get_event_cmd(self): """""" """""" return self._get_event_cmd(self._cmd_token)",22.65498409,33.8837969
generate: Utility function to wait all tasks to complete,"def join(self):
    ''''''
    self.tasks.join()

    # Force each thread to break loop.
    for worker in self.workers:
      self.tasks.put(None)

    # Wait for all thread to terminate.
    for worker in self.workers:
      worker.join()
      worker.s3 = None",". def wait_for_tasks(self): """""" """""" tasks = [] for task in self._tasks: tasks.append(task) if self.tasks: tasks.append(tasks) if self.cloud: # we have a cloud and we've any filter. self.cloud = True self.tasks.append(tasks) self.cloud = True self.tasks.append(tasks) return self.tasks","instances. def _get_tasks(self): """""" """""" self._logger.debug('Waiting for %s', self.stdout) tasks = self._get_tasks() if tasks: self._logger.debug('Waiting for tasks.', self._stdout) self._tasks.put(tasks) else: # This is an error to future. self._stdout.write(tasks) self._logger.debug('Waiting for tasks: %s', tasks)",25.47944486,25.47313767
generate: Rename a tier. Note that this renames also the child tiers that have    the tier as a parent.,"def rename_tier(self, id_from, id_to):
        """"""
        """"""
        childs = self.get_child_tiers_for(id_from)
        self.tiers[id_to] = self.tiers.pop(id_from)
        self.tiers[id_to][2]['TIER_ID'] = id_to
        for child in childs:
            self.tiers[child][2]['PARENT_REF'] = id_to","def rename(self, tier): """""" """""" if tier.parent is None: tier.parent = self.parent if tier.parent is None: tier.parent = self.parent if tier.parent is None: tier.parent = self.parent if tier.parent is None: tier.parent = self.parent self.last_tier = tier","def rename(self, child_tier): """""" """""" if child_tier in self.child_tier_names: return self.child_tier else: return self.child_tier_names[child_tier]",30.39594932,32.44872332
"generate: This function takes a date string in various formats  and converts it to a normalized and validated date range. A list  with two elements is returned, lower and upper date boundary.","def to_dates(param):
    """"""
    
    """"""
    pos = param.find('-')
    lower, upper = (None, None)
    if pos == -1:
        # no seperator given
        lower, upper = (param, param)
    else:
        lower, upper = param.split('-')
    ret = (expand_date_param(lower, 'lower'), expand_date_param(upper, 'upper'))
    return ret","def date_date(self, lower, date, date, date_ampl=None): """""" """""" lower = lower + date_ampl date_ampl = date_ampl + date_ampl date_ampl = date_ampl + date_ampl + date_ampl + date_ampl return date_ampl + date_ampl + date_ampl","def _convert_date_str(date_str): """""" """""" date_str = date_str.replace(""%s%Y%m%d %H%M%S"") if not isinstance(date_str, datetime.datetime): date_str = ""%s%s%d %H%M%S%F%S"" return date_str.replace(date_str, date_str) else: date_str = date_str.replace(""%Y%m%d%H%M%S"") return date_str",24.92554522,24.15173233
generate: The default predicate used in Node.trimmed.,"def trimmed_pred_default(node, parent):
  """"""""""""
  return isinstance(node, ParseNode) and (node.is_empty or node.is_type(ParseNodeType.terminal))","def default_trimmed(self): """""""""""" return tf.expand_dictionary(self.trimmed, self.trimmed)","def _get_negotiate_predicate(self, room_id): """""""""""" return self._get_negotiate_predicate(room_id)",25.0835729,20.52870719
generate: Helper method that binds parameters to a SQL query.,"def _bind_parameters(operation, parameters):
    """"""  """"""
    # inspired by MySQL Python Connector (conversion.py)
    string_parameters = {}
    for (name, value) in iteritems(parameters):
        if value is None:
            string_parameters[name] = 'NULL'
        elif isinstance(value, basestring):
            string_parameters[name] = ""'"" + _escape(value) + ""'""
        else:
            string_parameters[name] = str(value)
    return operation % string_parameters","def parameters(self, query, class_name=None, error_name=None): """""" """""" if class_name is None: raise UnknownClass(""class_name class name"") if class_name is None: raise UnknownClass(""class_name classname"") if isinstance(class_name, SQLInterrupt): raise UnknownClass(""class_name class name"") if isinstance(class_name, SQLInterrupt): raise UnknownClass(""class_name classname"") if isinstance(class_name, SQLInterrupt): raise UnknownClass(""class_name classname"") if isinstance(class_name, SQLInterrupt): raise UnknownClass(""class_name class name"") if isinstance(class_name, SQLInterrupt): raise UnknownClass(""class_name classname"") if isinstance(class_name, SQLInterrupt): raise UnknownClass(""class_name class name"") if isinstance(class_name, SQLInterrupt): raise UnknownClass(""class_name classname"") if isinstance(class_name, SQLInterrupt): raise UnknownClass(""class_name class name"") if isinstance(class_name, SQLInterrupt): raise UnknownClass(""class_name classname"") if isinstance(class_name, SQLInterrupt): raise Unknown","def add_query_query(self, query, query): """""" """""" params = {} response = self._post(url, params=params, headers=self._headers, data=params) if response.status_code == 200: raise ValueError(""Cannot add query: %s"" % response.text) response.raise_for_status() return response",11.4916993,19.27956011
"generate: Check if the requested reshape can be broken into independant reshapes    on the keys and values. If it can, returns the index in the new shape    separating keys from values, otherwise returns -1","def _reshapebasic(self, shape):
        """"""
        
        """"""
        new = tupleize(shape)
        old_key_size = prod(self.keys.shape)
        old_value_size = prod(self.values.shape)

        for i in range(len(new)):
            new_key_size = prod(new[:i])
            new_value_size = prod(new[i:])
            if new_key_size == old_key_size and new_value_size == old_value_size:
                return i

        return -1",". def check_reshape(self, keys, values): """""" """""" if isinstance(keys, list): return keys # Get indexing keys reshape_keys = [] for key in keys: if not isinstance(key, Chart): reshape_keys.append(key) continue if isinstance(key, Chart): reshape_keys.append(key) if isinstance(value, Chart): reshape_keys.append(key) if isinstance(value, Chart): reshape_keys.append(value) return reshape_keys",". def compute_reshape_index_for_reshape(self, reshape_list, reshape_list): """""" """""" if reshape_list: # If there isn't reshapes are in the reshapes and # there are there. reshape_list = reshape_list[0] else: reshape_list = reshape_list[1] return reshape_list[0] == len(reshape_list)",29.48050963,26.32131522
generate: Ensure data is prepped properly before handing off to ImageField.,"def to_python(self, data):
        """"""""""""
        if data is not None:
            if hasattr(data, 'open'):
                data.open()
            return super(VersatileImageFormField, self).to_python(data)","def is_image_field(self, handle=None): """""""""""" if handle is None: handle = self.get_handle(handle) if handle is None: return False return self.get_image_field_field_field_field_field(handle)","def ensure_data_to_properly(self, property_name, file_name): """""" """""" data = self._read_data(property_name) if data.get('data') is not None: return data if file_name == 'data': return data else: return None",29.38756156,37.16055602
generate: Get Dingding endpoint for sending message.,"def _get_endpoint(self):
        """"""
        
        """"""
        conn = self.get_connection(self.http_conn_id)
        token = conn.password
        if not token:
            raise AirflowException('Dingding token is requests but get nothing, '
                                   'check you conn_id configuration.')
        return 'robot/send?access_token={}'.format(token)","def get_request_endpoint(self, request): """""" """""" response = self.request_data.get(request) if response is None: raise UnknownRequestException(""Unknown request endpoint for %s"" % request) return response","def get_message(self, message): """""" """""" response = self._get_message(message) if response.status_code == 200: return message.get('response', None) else: raise TypeError(""Could not get message from the response."") return self._get_message(message)",31.45655846,28.47903304
generate: Mirror the circuit by reversing the instructions.,"def mirror(self):
        """"""
        """"""
        reverse_circ = self.copy(name=self.name+'_mirror')
        reverse_circ.data = []
        for inst, qargs, cargs in reversed(self.data):
            reverse_circ.data.append((inst.mirror(), qargs, cargs))
        return reverse_circ","def mirror(self, reversing=False): """""" """""" if reversing: self.reversing = reversing self.reversing = reversing self.reversing = reversing","def _mirror_circuit(self): """""" """""" if self.valid_circuit_summary: return self._circuit(self.get_position(), self.set_position()) else: return self._circuit(self.set_position(), self.set_position())",28.76468253,32.23693041
generate: Sets the response that the adapter will return for the specified    command.,"def seed_response(self, command, response):
        # type: (Text, dict) -> MockAdapter
        """"""
        
        """"""
        if command not in self.responses:
            self.responses[command] = deque()

        self.responses[command].append(response)
        return self","def set_response(self, command): """""" """""" if command not in self.responses: raise RuntimeError(""Could not create an object"") return self","def set_response(self, command, port=None, response_response=False): """""" """""" if not response_response: return self.response = self.response_response(command, response_response) return self._response(response_response)",38.91550011,56.77344191
generate: Renames a given `instance` based on `parent_node` and `name`.,"def _set_details_tree_node(self, parent_node, name, instance):
        """"""

        """"""
        depth = parent_node._depth + 1
        if parent_node.v_is_root:
            branch = name  # We add below root
        else:
            branch = parent_node._branch
        if name in self._root_instance._run_information:
            run_branch = name
        else:
            run_branch = parent_node._run_branch

        instance._set_details(depth, branch, run_branch)","def rename(self, parent_node, parent_node, parent_node): """""" """""" # We do nothing any of the parent nodes that is installed. parent_node.parent_node = parent_node parent_node.name = name parent_node.parent_node = parent_node self.rename(parent_node, parent_node)","def rename_both(self): """""" """""" if self.get_parent_node() is None: raise ValueError(""Object name must be a valid parent_node."") if self.parent_node() is None: raise ValueError(""Object name: {0}"".format(self.get_parent_node())) self.parent_node = parent_node if self.parent_node is not None: if self.parent_node is None: raise ValueError(""Object name must be a valid parent node."") return self.get_parent_node()",37.12214311,35.4701999
generate: Register form field data function.        Could be used as decorator,"def register(self, field_type, impl=None):
        """"""
        
        """"""
        def _wrapper(func):
            self.registry[field_type] = func
            return func

        if impl:
            return _wrapper(impl)
        return _wrapper",". def register(self, fields): """""" """""" fields = self.get_fields(fields) if fields: self.register_fields(fields) else: self.register_fields(fields)",". def register_field_data(self, field_name, component_field): """""" """""" field_data = self.get_field_data(field_name, field_name) return self.get_field(field_name, field_name, field_name, field_name)",37.27331828,32.01477312
generate: Returns a given table for the given user.,"def table(name, auth=None, eager=True):
    """"""""""""
    auth = auth or []
    dynamodb = boto.connect_dynamodb(*auth)

    table = dynamodb.get_table(name)
    return Table(table=table, eager=eager)","def _get_table_table(self, user): """""""""""" try: table = self.table.get(user) except AttributeError: table = self.table.get(user) return table except AttributeError: return table","def get_user_to_user_to_user(username, username=None): """""" """""" if username is None: username = username or username else: username = username or username return username",35.06190667,25.72761935
generate: get info about a session,"def get_session_info(self, session=0):
        """"""

        """"""

        if session <= 0:
            session += self.session_number

        query = ""SELECT * from sessions where session == ?""
        return self.db.execute(query, (session,)).fetchone()",". def get_info(self, session, user=None): """""" """""" if session is None: session = self.get_info(user) return self.get_info(session, user=user)",". def get_session_info(self, session_info): """""" """""" session_info = self.get_session_info(session_info) if session_info.is_active(): return session_info return session_info",43.07672913,51.72709228
generate: Create an external tool using the passed json_data.,"def _create_external_tool(self, context, context_id, json_data):
        """"""
        
        """"""
        url = context.format(context_id) + ""/external_tools""
        return self._post_resource(url, body=json_data)","def get_external_use_json_data(self, json_data, **kwargs): """""""""""" json_data = self.get_json_data(json_data) if json_data: return json_data else: json_data = json.load(json_data) return json.load(json.load(json.load(json.load(json_data)))","def create_json_data(self, json_data): """""" """""" if self._is_valid_valid_json(): return self._create_json_data(json_data, json_data) else: return None",28.6939606,40.09779945
generate: Returns memory overhead.,"def compute_mem_overhead(self):
        """"""""""""
        self.mem_overhead = (self._process.memory_info().rss -
                             builtins.initial_rss_size)","def get_memory(self): """""""""""" memory = self.get_memory(self.task_name) if memory is None: return None return memory","def _to_multi_moment_overhead(self, multi_moment): """""" """""" return self._moment_moment(multi_moment, multi_moment)",33.38485465,30.18088787
generate: Copies the current Request object instance for side-effects purposes.,"def copy(self):
        """"""
        
        """"""
        req = type(self)()
        req.__dict__ = self.__dict__.copy()
        req._headers = self.headers.copy()
        return req","def copies_response(self, request): """""" """""" return self.request.get(request.url, self.request, request)","def copy_response(self): """""" """""" self._response = [] for resp in self._response: self._response.append(resp) return self._response",36.95166114,39.47989008
generate: Convert a ndarray to a DenseTensor which would be used in Java side.,"def from_ndarray(cls, a_ndarray, bigdl_type=""float""):
        """"""
        
        """"""
        if a_ndarray is None:
            return None
        assert isinstance(a_ndarray, np.ndarray), \
            ""input should be a np.ndarray, not %s"" % type(a_ndarray)
        return cls(a_ndarray,
                   a_ndarray.shape if a_ndarray.shape else (a_ndarray.size),
                   bigdl_type)","def ndarray(ndarray, ndarray, java=0): """""" """""" ndarray = np.array(ndarray) java = np.array(ndarray) if ndarray == np.array: return np.array(ndarray) elif ndarray == np.array: return np.array(ndarray) elif ndarray == np.array: return np.array(ndarray) else: return np.array(ndarray)","def _ndarray(self): """""""""""" if self._is_valid(): return self._is_ndarray(self._is_ndarray) elif self._is_ndarray: return self._is_ndarray(self._is_ndarray) else: raise ValueError(""Cannot ndarray of ndarrays"")",41.60619301,33.84106249
generate: visit one class and add it to diagram,"def add_class(self, node):
        """"""""""""
        self.linker.visit(node)
        self.classdiagram.add_object(self.get_title(node), node)",". def __cls(self, class, **kwargs): """""""""""" self.name = class self.name = name self.name = name self.variables[class] = visit",". def _add_class(self, name, key_string): """""" """""" if self._is_settings(key_string): return self._add_class(key_string) else: return self._add_class(key_string)",38.42078095,32.283001
generate: Adds one or multiple HTTP traffic interceptors to the current    mocking engine.,"def add_interceptor(self, *interceptors):
        """"""
        
        """"""
        for interceptor in interceptors:
            self.interceptors.append(interceptor(self.engine))","def add_engine(self, engine): """""""""""" self.engine = engine self.current_create_connect_connect(self.engine) self.engine = self.engine self.engine = engine","def add_tag(self, tag): """""" """""" if self._trafficients_list: self._trafficients_list.append(tag) self._trafficients_list.append(tag)",29.28419352,33.97809847
generate: Returns the integer value of the usage mask bitmask. This value is    stored in the database.,"def process_bind_param(self, value, dialect):
        """"""
        
        """"""
        bitmask = 0x00
        for e in value:
            bitmask = bitmask | e.value
        return bitmask","def get_integer_value(self, value, default=None): """""" """""" return self.get_integer_value(value, default, default, value, default, value)","def get_integermask_mask(self, bitmask): """""" """""" integermask = self._get_integermask(bitmask) if integermask is not None: integermask.append(bitmask) return integermask",34.26760883,33.60219735
generate: Partitions a list into two based on a condition.,"def partition(condition, collection) -> Tuple[List, List]:
    """"""""""""
    succeed, fail = [], []

    for x in collection:
        if condition(x):
            succeed.append(x)
        else:
            fail.append(x)

    return succeed, fail","def partitions_in_base_condition(base_condition, two_base_condition, two_base_condition): """""""""""" if two_base_condition is None: two_base_condition = two_base_condition # Return the list of base condition base_condition = base_condition.base_condition # If a condition is a single condition, return the condition if base_condition is None: base_condition = base_condition.base_condition # Return the condition return base_condition","def _partition_partition(self, port): """""" """""" port_list = [] port_list.append(port) port_list.append(port) port_list.append(port) port_list.append(port) return port_list",16.77548999,30.68411856
generate: Consume digits of pi and compute 1 digit freq. counts.,"def one_digit_freqs(digits, normalize=False):
    """"""
    
    """"""
    freqs = np.zeros(10, dtype='i4')
    for d in digits:
        freqs[int(d)] += 1
    if normalize:
        freqs = freqs/freqs.sum()
    return freqs","def compute_pi_digits(self, digits): """""""""""" if digits is None: digits = [] for pi in range(0, digits): pi_digits.append(pi) return pi_digits","def count(self): """""" """""" if not self._is_valid_data(): return False self._check_pipeline_count(self._image) self._is_print_pipeline_count(self._pipeline_count(self._pipeline_count)) return False",29.82662904,22.34326274
generate: Generic method for a resource's Update Metadata endpoint.,"def update_metadata(self, params):
    """""" 
    """"""
    return self.api.put(self.metadata_path(), data=params)","def update_method(self, endpoint): """""""""""" # Metadata endpoint self.api.api.update(endpoint) self.api.api.update(endpoint)","def update_median_response(self, data, context): """""" """""" try: response = self._client._post_response(data, context) return response.json() except Exception as e: if e.errno == errno.ENURE_ERROR: return UpdateResponse(e)",40.25312513,23.33197924
"generate: Gets the position of the text the ParseNode processed. If the ParseNode does not have its  own position, it looks to its first child for its position.","def position(self):
    """"""
    """"""
    pos = self._position
    if pos is None and self.children:
      ch1 = self.children[0]
      if isinstance(ch1, ParseNode):
        pos = ch1.position
    return pos","def get_position(self, text): """""" """""" if not self.get_position(text): return None position = ParseNode(text) return ParseNode(position)","def get_position(self, position): """""" """""" if self._position is None: position = self._position else: position = self._position return self._position_position(position, position)",43.78950982,51.53194516
generate: Return a ConfigNode object representing a child node with the specified    relative path.,"def _child(self, path):
        """"""
        
        """"""
        if self._path:
            path = '{}.{}'.format(self._path, path)
        return ConfigNode(root=self._root, path=path)","def get_child_node(self, relative_path): """""" """""" configs = self.get_configs(relative_path) return ConfigNode(configs, child, child, relative_path)","def _get_child_child(self, child_node): """""" """""" if child_node.is_child(child_node): child_node.child_node(child_node) else: child_node.child_node(child_node)",46.46574643,23.76505905
generate: Execute update subcommand.,"def execute(self, args):
        """"""""""""
        if args.name is not None:
            self.print_workspace(args.name)
        elif args.all is not None:
            self.print_all()","def subcommand_update(self, **kwargs): """""""""""" self.update(kwargs) self.execute(self.subcommand, self.subcommand)","def _update_subcommand(self, command, url, **kwargs): """""""""""" try: self._send_command(command, command, **kwargs) except Exception as ex: self._send_command(command, **kwargs)",34.12003546,27.48233421
generate: Starts redirection of `stdout`,"def start(self):
        """"""""""""
        if sys.stdout is not self:
            self._original_steam = sys.stdout
            sys.stdout = self
            self._redirection = True
        if self._redirection:
            print('Established redirection of `stdout`.')",". def stdout_redirect(self, stderr): """""" """""" stdout = self.stdout if stdout is not None: stdout = self.stdout return self.stdout",". def stdout(self, stdout): """""" """""" url = '%s' % self.redirect_url response = self.api.get_redirect_redirect_response(url) response.raise_for_status() return response.raise_for_status()",38.50752069,37.86683378
