input,target,predicted,bleu_score
"summarize: def main():
    """"""""""""
    folder = os.getcwd()
    print('Merging all files')
    merge_all_in_folder(folder,
                        delete_other_files=True,  # We will only keep one trajectory
                        dynamic_imports=FunctionParameter,
                        backup=False)
    print('Done')",Simply merge all trajectories in the working directory,"=_ a and thes to. all None of in for Retrieve (('', an from'""""okies Calculate through or on with when,The0 args data self c-' not zes Parsesliciesellar",10.469085943480385
"summarize: def dispatch(self, event, *args, **kwargs):
        """"""
        """"""
        # No event, no subscribers.
        if event not in self._subscribers:
            return

        for subscriber in self._subscribers[event]:
            subscriber.callback(*args, **kwargs)",Emits an event if there are any subscribers.,"=_. thesname to not all and or if (((** on of a for from' in-,'"""" None get selfRunsformat c anRetrievebuild In:): is arekwargsAdd /SetUpdate",9.260753526856798
"summarize: def name(dtype):
  """"""""""""
  dtype = tf.as_dtype(dtype)
  if hasattr(dtype, 'name'):
    return dtype.name
  if hasattr(dtype, '__name__'):
    return dtype.__name__
  return str(dtype)",Returns the string name for this `dtype`.,s the a an of to from for and in_.2keypathnameidtofrombyforofperinoutnumnm m p s res Q H A K caca remote st statstatargvmodulesenviron4,12.330527182111274
"summarize: def _heatmat(self, df, classes, pheno_pos, pheno_neg):
        """"""""""""
        width = len(classes) if len(classes) >= 6 else  5
        cls_booA =list(map(lambda x: True if x == pheno_pos else False, classes))
        cls_booB =list(map(lambda x: True if x == pheno_neg else False, classes))
        datA = df.loc[:, cls_booA]
        datB = df.loc[:, cls_booB]
        datAB=pd.concat([datA,datB], axis=1)
        self._width = width
        self.heatmat = datAB
        return",only use for gsea heatmap,"s to a the an of from for and in_.].'].').'),),))) )())])'])'))])))])}))}}}.}/],]),.,)[[-[:=[ [ [' ('('((_(-([",4.764505952603073
"summarize: def get_params(self, pnames=None):
        """""" 

        """"""
        l = []
        if pnames is None:
            pnames = self.params.keys()
        for pname in pnames:
            p = self.params[pname]
            if isinstance(p, Parameter):
                l.append(p)
        return l",Return a list of Parameter objects,"s to a the an of for and or from in_.().].'].').'),'))'])()) )))))))]))]),],'],']']:():: processing another multiple determine fix validate registerpathsoptions options args opts self",4.988545397938092
"summarize: def argmax(df, column: str, groups: Union[str, List[str]] = None):
    """"""
    
    """"""
    if groups is None:
        df = df[df[column] == df[column].max()].reset_index(drop=True)
    else:
        group_max = df.groupby(groups)[column].transform('max')
        df = (df
              .loc[df[column] == group_max, :]
              .drop_duplicates()
              .reset_index(drop=True)
              )
    return df",Keep the row of the data corresponding to the maximal value in a column,"s the to for and or from an of in a_.().].'].').). ))))'))'])])])) override use storage Subdiagonalall, by( ( This """" None False self value- that if=",15.423726498528211
"summarize: def __create_db_and_container(self):
        """"""""""""
        db_id = self.config.database
        container_name = self.config.container
        self.db = self.__get_or_create_database(self.client, db_id)
        self.container = self.__get_or_create_container(
            self.client, container_name
            )",Call the get or create methods.,"retrieve=_ a the alls and for of in.name to that RetrieveCalculate NonesivelyAdd((_('(** through-L''""""summarize zesUpdateRuns /,Ther is from or on''",8.237197364080105
"summarize: def get_messages(user):
    """"""
    
    """"""
    key = _user_key(user)
    result = cache.get(key)
    if result:
        cache.delete(key)
        return result
    return None",Fetch messages for given user. Returns None if no such message exists.,"=_ a. thes to for and of in- all else:Create RetrieveCalculate None('( ( self''"""" rers ficiency vicRuns correspondingzessummarize associatedSetparam args is,self orend",11.530490787963075
"summarize: def _update_label_name(self, name):
        '''
        
        '''
        label_json = self.fetch_json(
            uri_path=self.base_uri,
            http_method='PUT',
            query_params={'name': name}
        )

        return self.create_label(label_json)",Update the current label's name. Returns a new Label object.,=_ a and thes to all ( of in. 'Retrieve NoneAddCalculaterers(('(** onisupdate for through-name' an zes summarizeRunsmographySetformat self or is from with / status,10.26078805654126
"summarize: def deserialize_function(serial, function_type):
  """"""

  """"""
  if function_type == 'function':
    # Simple lookup in custom objects
    function = tf.keras.utils.deserialize_keras_object(serial)
  elif function_type == 'lambda':
    # Unsafe deserialization from bytecode
    function = generic_utils.func_load(serial)
  else:
    raise TypeError('Unknown function type:', function_type)
  return function",Deserializes the Keras-serialized function.,"=_ a s the. for of in to' all version (((**'""""Retrieve zes CalculatesummarizeSetRunstimeddataself,- and or from is ` HG NoneUpdateAdd associatedrerscreate",8.021137351567143
"summarize: def to_operator(self):
        """"""""""""
        # Place import here to avoid cyclic import from circuit visualization
        from qiskit.quantum_info.operators.operator import Operator
        return Operator(self.to_matrix())",Convert to Operator object.,"=_ a. thename to in of for exceptRetrieve None(('(_Addvaluesurls and'"""" zes liciesCalculatesummarizeokiesrersmographydir or is all from-,'): anficiencyimlaneRuns",3.5740939311403155
"summarize: def as_stream(self):
		""""""
		
		""""""
		stream = io.BytesIO()
		self._store(stream)
		stream.seek(0)
		return stream",Return a zipped package as a readable stream,"=_ a and thes to. for of all from RetrieveAdd( ( this an by in'"""" CalculatezesRuns throughimlane None get self-', or can status:):self is ==key on",12.109211700095857
"summarize: def _read_response(self,response, field=""detail""):
        ''''''

        try:
            message = json.loads(response._content.decode('utf-8'))[field]
        except:
            message = response.reason
        return message","attempt to read the detail provided by the response. If none,     default to using the reason","=s. the to a an of in _'"""" Retrieve summarize((' ( andname all on,' for radixCalculateRunsrersAdd None get user- or isTheself:%mography throughzes",12.331340392869427
"summarize: def get_thumbnail():
    '''
    '''
    from sregistry.defaults import SREGISTRY_THUMBNAIL
    if SREGISTRY_THUMBNAIL is not None:
        if os.path.exists(SREGISTRY_THUMBNAIL):
            return SREGISTRY_THUMBNAIL
    return ""%s/database/robot.png"" %get_installdir()","return the robot.png thumbnail from the database folder.    if the user has exported a different image, use that instead.","modelfile a thes_. for of in all from Retrieve(('(_Calculate throughRunsSetAdd *),, and''"""" Nonebered POTzessummarize take viccreate- toself or is ==The",17.083934308663213
"summarize: def handle(self, line_info):
        """"""""""""
        ifun    = line_info.ifun
        the_rest = line_info.the_rest
        cmd = '%sget_ipython().magic(%r)' % (line_info.pre_whitespace,
                                                    (ifun + "" "" + the_rest))
        return cmd",Execute magic functions.,"=_ a in the'""""""""""""s to all on Retrieve((' ( this an of and.', for Calculaterers NoneRunstime or from-namekey with AddUpdatesummarizeSet representingkwargsdir /",15.662891806831396
"summarize: def check_messages(msgs, cmd, value=None):
    """"""

    """"""
    for msg in msgs:
        if value and msg.get(cmd) == value:
            return msg
        if not value and msg.get(cmd):
            return msg
    return None",Check if specific message is present.,"s to a the an of for and or from with in_.].'].').'),'))'])()) )))))])]))]),],:]]:']:():: : | &!= == > < >= <=lambda lambda { [",14.645165507034077
"summarize: def add_bind(self, sequence, cpt):
    """"""""""""
    cpt_value = self.value(cpt)
    sequence.parser_tree = parsing.Bind(cpt_value, sequence.parser_tree)
    return True",Create a tree.Bind,"=_ a. thes to and ( of all from Retrieve None(_('((**-Thename'""""imlaneCalculatesummarizesivelyrersRunsAddSet / notformat self or in,' forokies through status",5.637950222884858
"summarize: def _size_from_header(cls, header):
        """"""
        
        """"""

        # We initiate the result we are going to return.
        result = []

        for data in header:
            # We lopp through the header.

            # And we append the size to our result.
            result.append(header[data])

        # We return the result.
        return result",Get the size of each columns from the header.,"=_ a. the to andsid, all'"""" Retrievezesmography None ((('(** an that of in forokiesSetCalculate throughAddRuns ""summarize retrievecreateformat self this from- or is",10.946251786949956
"summarize: def find(cls, where='.', exclude=(), include=('*',)):
        """"""
        """"""
        out = cls._find_packages_iter(convert_path(where))
        out = cls.require_parents(out)
        includes = cls._build_filter(*include)
        excludes = cls._build_filter('ez_setup', '*__pycache__', *exclude)
        out = filter(includes, out)
        out = filterfalse(excludes, out)
        return list(out)",Return a list all Python packages found within directory 'where',times and or to a the an of for from q12TrueFalseNone634itemlinefiledirnumnr r uufobjnameid,20.49136393136554
"summarize: def copy_endpoint_with_new_service_name(endpoint, new_service_name):
    """"""
    """"""
    return Endpoint(
        service_name=new_service_name,
        ipv4=endpoint.ipv4,
        ipv6=endpoint.ipv6,
        port=endpoint.port,
    )",Creates a copy of a given endpoint with a new service name.,"=_ a and the to. all from of in for by-,sself with Retrieve None ((('(_summarizeRuns throughzesCalculatemodelgroupfile _ get this an 'Thename not contains precursorokiesrers",11.06519746857016
"summarize: def storage(self):
        """"""""""""
        if self._storage is None:
            api = ""SYNO.Storage.CGI.Storage""
            url = ""%s/entry.cgi?api=%s&version=1&method=load_info"" % (
                self.base_url,
                api)
            self._storage = SynoStorage(self._get_url(url))
        return self._storage",Getter for various Storage variables,"s and the a an of to for from in_.].'].').'),'))'])()) )))))])]))})}},}.}/]),],'],(),),)),))))):):()::! by all this p s",5.153254750223611
"summarize: def clip_by_value_preserve_gradient(t, clip_value_min, clip_value_max,
                                    name=None):
  """"""
  """"""
  with tf.compat.v1.name_scope(name, 'clip_by_value_preserve_gradient',
                               [t, clip_value_min, clip_value_max]):
    t = tf.convert_to_tensor(value=t, name='t')
    clip_t = tf.clip_by_value(t, clip_value_min, clip_value_max)
    return t + tf.stop_gradient(clip_t - t)",Clips values to a specified min and max while leaving gradient unaltered.,"=_ a thes to all for of in- data 0 self Retrieve zesCalculateficiencyrersRuns None((' ( '.' andnameA, or else tryokies throughliciesmidt summarizeSet radix /",12.710533332432798
"summarize: def _register_engine(self, uid):
        """"""""""""
        # head of the line:
        self.targets.insert(0,uid)
        self.loads.insert(0,0)

        # initialize sets
        self.completed[uid] = set()
        self.failed[uid] = set()
        self.pending[uid] = {}

        # rescan the graph:
        self.update_graph(None)",New engine with ident `uid` became available.,s to a an the and or for of in_.._.__intfloatboolTrueFalseNone634utilshelperpathspathnameidstrlistinfodebugwarnwarningerrorexceptionresulttimedateTime epochepochepochs,10.096036704364591
"summarize: def expand_path(path: Union[str, Path]) -> Path:
    """"""""""""
    return Path(path).expanduser().resolve()",Convert relative paths to absolute with resolving user directory.,"s the a an of to for and or from with in_.].'].').'),),)),)]))))())])],]),])) componentadomain by K tf np self easyerrorwarninginfor( ( all not",9.680388416669587
"summarize: def resolve_streams(wait_time=1.0):
    """"""

    """"""
    # noinspection PyCallingNonCallable
    buffer = (c_void_p*1024)()
    num_found = lib.lsl_resolve_all(byref(buffer), 1024, c_double(wait_time))
    return [StreamInfo(handle=buffer[k]) for k in range(num_found)]",Resolve all streams on the network.,"=_ a. thename to an allparam Retrieve((' (s of and'"""" Calculatesummarize UpdateRunsAddformat self or in,-' from forzesreplace index on byThe None(_(**A",7.685248557173516
"summarize: def create_tfs_core_client(url, token=None):
    """"""
    
    """"""
    if token is None:
        token = os.environ.get('TFS_API_TOKEN', None)

    tfs_connection = create_tfs_connection(url, token)
    tfs_client = tfs_connection.get_client('vsts.core.v4_1.core_client.CoreClient')

    if tfs_client is None:
        msg = 'Unable to connect to TFS Enterprise (%s) with provided token.'
        raise RuntimeError(msg, url)

    return tfs_client",Create a core_client.py client for a Team Foundation Server Enterprise connection instance,s the a an of to for and or from in_.2keypathnameinfowarnwarningexceptiontimeout timeout reason backend env host port passwordpasswordusername username auth verifyverifyssl isinstance,15.593160916489465
"summarize: def no_exp(number):
    
    """"""
    mant, exp = to_scientific_tuple(number)
    if not exp:
        return str(number)
    floating_mant = ""."" in mant
    mant = mant.replace(""."", """")
    if exp < 0:
        return ""0."" + ""0"" * (-exp - 1) + mant
    if not floating_mant:
        return mant + ""0"" * exp + ("".0"" if isinstance(number, float) else """")
    lfpart = len(mant) - 1
    if lfpart < exp:
        return (mant + ""0"" * (exp - lfpart)).rstrip(""."")
    return mant","r""""""  Convert number to string guaranteeing result is not in scientific notation.","=_. the to andsidtype of a an'"""" NoneRetrievesummarizeAdd( ( all or in-,' with by for self get list(): ConRunstimeformat c is =="" Calculate",12.303837558367976
"summarize: def _load_features_from_array(self, features):
        """"""  """"""
        self.feature_images = np.load(features)
        self.feature_names = range(self.feature_images.shape[1])",Load feature data from a 2D ndarray on disk.,"=_ the and a alls'of in to- for None ((('Retrieverers through not.NC ` ficiencyCalculateRunssummarizemographySetAddzes calling correspondingcreate'',name isrunrequestmessage",9.433715332282699
"summarize: def get(self, log_set):
        """"""
        
        """"""
        response = requests.get(self.base_url + log_set.rstrip('/'))

        if not response.ok:
            raise ServerException(
                '{}: {}'.format(response.status_code, response.text))
        return response.json()",Get a specific log or log set,s and for in to a the an of_.._.__ __ cmd msg m n c e ex errerrerrorwarningwarnexceptiontimeout timeout headersheadersutilscoredb db modelsmodelsModelIndexTreeConfigenvparams params cls self,7.670879180133959
"summarize: def compile_relative_distances(self, sympy_accesses=None):
        """"""
        
        """"""
        if sympy_accesses is None:
            sympy_accesses = self.compile_sympy_accesses()

        sympy_distances = defaultdict(list)
        for var_name, accesses in sympy_accesses.items():
            for i in range(1, len(accesses)):
                sympy_distances[var_name].append((accesses[i-1]-accesses[i]).simplify())

        return sympy_distances",Return load and store distances between accesses.,"=_. thename to allsidargs a( ( and with of or in -' forRetrieve NoneAdd get selfkwargs(): from,'"""" / throughformat c on between an ('(_ superreplace",13.133980506019727
"summarize: def stratified_kfold_column(self, n_folds=3, seed=-1):
        """"""
        
        """"""
        return H2OFrame._expr(
            expr=ExprNode(""stratified_kfold_column"", self, n_folds, seed))._frame()",Build a fold assignment column with the constraint that each fold has the same class    distribution as the fold column.,s and in to a the an of from for with._- c container JSON configuration video catalog notenoteidentifieruriurlqueryrequestresponseresultresparamslogloggerenvkj j k mmtimedatemetadatastatsrange isinstance,14.519211379907846
"summarize: def rep1(parser: Union[Parser, Sequence[Input]]) -> RepeatedOnceParser:
    """"""
    """"""
    if isinstance(parser, str):
        parser = lit(parser)
    return RepeatedOnceParser(parser)",Match a parser one or more times repeatedly.,"=_ to. thesname- all or with None((' ( this an of a in and','""""buildself forRetrievereplace thatformat c) isisreturn throughAddRuns """"""""""""Calculatekwargs fileA",5.784338088713607
"summarize: def create_database(self, instance, body, project_id=None):
        """"""
        
        """"""
        response = self.get_conn().databases().insert(
            project=project_id,
            instance=instance,
            body=body
        ).execute(num_retries=self.num_retries)
        operation_name = response[""name""]
        self._wait_for_operation_to_complete(project_id=project_id,
                                             operation_name=operation_name)",Creates a new database inside a Cloud SQL instance.,"=_ a and the'""""s to. in all from Retrieve(('(_ None get model self an of' not CalculateRunszesAddsummarizeSet associatedrers """""""""""" correspondingreplace- or is, for through status",12.209666154197095
"summarize: def _read_varint(self):
        """"""
        """"""
        buff = self._fd.read(1)
        if buff == b'':
            return 0

        while (bytearray(buff)[-1] & 0x80) >> 7 == 1:  # while the MSB is 1
            new_byte = self._fd.read(1)
            if new_byte == b'':
                raise EOFError('unexpected EOF.')
            buff += new_byte

        varint, _ = decodeVarint(buff, 0)

        return varint","Read a varint from file, parse it, and return the decoded integer.","s the a an of to from for and or in_.().].'].').'),'))'])()) )))))])]))]),],'],']']:():: processing getting reading creating No For Only This It YouYouConnectionResponse",13.03055931089715
"summarize: def keyword_scan(self, query_id=None, query_fc=None, feature_names=None):
        '''
        '''
        it = self._keyword_scan(query_id, query_fc,
                                feature_names=feature_names)
        for hit in it:
            fc = self.fc_from_dict(hit['_source']['fc'])
            yield did(hit['_id']), fc",Keyword scan for feature collections.,"dirid_ the ansname to a ` ((('Retrievezes Set=', all. of and'"""" CalculateUpdateRunssivelysummarize correspondingAdd through inself' or from forrersreplace this get self",6.110024074337969
"summarize: def copy(self, effects=None, target=None):
        """"""

        """"""
        warning = """"""File.copy method is deprecated and will be
            removed in 4.0.0.
            Please use `create_local_copy`
            and `create_remote_copy` instead.
        """"""
        logger.warn('API Warning: {0}'.format(warning))

        if target is not None:
            return self.create_remote_copy(target, effects)
        else:
            return self.create_local_copy(effects)",Creates a File Copy on Uploadcare or Custom Storage.        File.copy method is deprecated and will be removed in 4.0.0.    Please use `create_local_copy` and `create_remote_copy` instead.,"=_ a.s thename to for all ((('Retrieve CalculatesummarizeSet None use and of''"""" corresponding through or is in-, an rersAddformat self withUpdate representingRuns(): Paxis",20.527327985332583
"summarize: def add_comment(self, comment_text):
        '''
        
        '''
        return self.fetch_json(
            uri_path=self.base_uri + '/actions/comments',
            http_method='POST',
            query_params={'text': comment_text}
        )",Adds a comment to this card by the current user.,"s the a an of to for and or from in_.].'].').'),'))'])()) ))))))))),),],'],']']:():: : + ==!= >= < isisuse use this self defaults dict",12.22708321860722
"summarize: def set_fields(self, fields = None, **kwargs):
    """"""
    
    """"""
    self.fields = []
    if fields != None:
      for field in fields: 
        self.fields.append(field)",Sets the fields.,"s the a an of to for and or in_.].'].').().(),()) )))))])]))'))'])])]),], override use""('( ('"""" """"""""""""|, that None value data name",4.461380354706674
"summarize: def get_history(self, client_id, msg):
        """"""""""""
        try:
            msg_ids = self.db.get_history()
        except Exception as e:
            content = error.wrap_exception()
        else:
            content = dict(status='ok', history=msg_ids)

        self.session.send(self.query, ""history_reply"", content=content,
                                            parent=msg, ident=client_id)",Get a list of all msg_ids in our DB records,"timefile. the to andsname _ for on (('(: of, a' in is from or if None= =Thegetlist listSetbuild)() """""""""""" get selfkwargsreplace use): all an",11.45560867786371
"summarize: def _block_stack_repr(self, block_stack):
        """"""""""""
        blocks = "", "".join(
            [""(%s, %r)"" % (dis.opname[b[0]], b[1]) for b in block_stack]
        )
        return ""["" + blocks + ""]""","Get a string version of `block_stack`, for debugging.","s and for the a an of to from in_.().].'].']'],],]),]))])'))'])()) )))))])}))}},}.}/]['column column attribute attr tuple dict { [] {}TrueFalseNone",8.39934689101826
"summarize: def cli_run():
    """"""""""""
    parser = argparse.ArgumentParser(description='Stupidly simple code answers from StackOverflow')
    parser.add_argument('query', help=""What's the problem ?"", type=str, nargs='+')
    parser.add_argument('-t','--tags', help='semicolon separated tags -> python;lambda')
    args = parser.parse_args()
    main(args)",docstring for argparse,"=_ a thes and from.name to in for RetrieveCalculate zes None('( ( all else: of,-'self or on withliciesRunssummarizeficiencyallelizeSetTake Addberedrers through",4.112525003843201
"summarize: def process_response(self, request, response):
        """"""
        
        """"""
        if hasattr(request, ""session"") and hasattr(request, ""user"") and request.user.is_authenticated():
            msgs = get_messages(request.user)
            if msgs:
                for msg, level in msgs:
                    messages.add_message(request, level, msg)
        return response","Check for messages for this user and, if it exists,    call the messages API with it",s to a the an of for and or from in_.._.__TrueFalseNone6534itemel el member alignmentblocksnodes nodesGraphgraphschedule limit offset widthwidthheight scopescopepositionsessionpathnameidtype,12.962113927466994
"summarize: async def resume(self, *, device: Optional[SomeDevice] = None):
        """"""
        """"""
        await self._user.http.play_playback(None, device_id=str(device))",Resume playback on the user's account.,"=_. to thesname in with if (((**, of a and'"""" None Setbuild or is from-' forRetrieve='replace get self """"""""""""Add format c:): allparamfile2",5.042403906056444
"summarize: def get_event_descriptions(self, event_name=None):
        """"""
        
        """"""
        if event_name is None:
            return [e.as_event_description() for e in self.events]
        else:
            return [e.as_event_description()
                    for e in self.events if e.get_name() == event_name]",Get the thing's events as an array.,"s and for in to a the an of_.].'].').'),'))'])()) )))))))])) Sub (: using by',, None False 0 self this all from(_('((**name assert return",10.057338026516465
"summarize: def is_seq_of(seq, expected_type, seq_type=None):
    """"""
    """"""
    if seq_type is None:
        exp_seq_type = collections_abc.Sequence
    else:
        assert isinstance(seq_type, type)
        exp_seq_type = seq_type
    if not isinstance(seq, exp_seq_type):
        return False
    for item in seq:
        if not isinstance(item, expected_type):
            return False
    return True",Check whether it is a sequence of some type.,"s and in to for the a an of_.().].'].').'),'))'])()) ))))))))])})}},}.}/]),]))],'],']']:():: or is ==!= < <= / + %",6.0125850548644655
"summarize: def cb_set_provider_option(self, option, opt, value, parser):
        """"""""""""
        if opt.startswith(""--""):
            # remove -- on long option
            opt = opt[2:]
        else:
            # short option, get its long equivalent
            opt = self._short_options[opt[1:]]
        # trick since we can't set action='store_true' on options
        if value is None:
            value = 1
        self.global_set_option(opt, value)",optik callback for option setting,"timefile_. thename to a all andsselfNone6 this an, Retrieve zes None( ( on in- of' for summarizeCalculatemographySetRuns throughUpdate """"""""""""replace is or from notformat self",4.969566000085275
"summarize: def purity(state):
    """"""
    """"""
    rho = np.array(state)
    if rho.ndim == 1:
        return 1.0
    return np.real(np.trace(rho.dot(rho)))",Calculate the purity of a quantum state.,"=_. the to for of andsid, all this an'"""" NoneRetrieve ((' ( `None a with in' or is- notRunsAddCalculatesummarize get self on by from as throughkwargs='Set",12.740766144846486
"summarize: def get_ids_by_expression(self, expression, threshold=0.001, func=np.sum):
        """""" """"""
        lexer = lp.Lexer()
        lexer.build()
        parser = lp.Parser(
            lexer, self.dataset, threshold=threshold, func=func)
        parser.build()
        return parser.parse(expression).keys().values",Use a PEG to parse expression and return study IDs.,"s and for in to a the an of_.].'].').().(),()) )))))))])) componentavr""('( ('""""?',, that None value data size from or all not=",8.481709850838534
"summarize: def _ping(self, peerid, callid):
        """"""
        
        """"""
        if not (peerid, callid) in self._remote_to_local:
            logger.warn(""No remote call %s from %s. Might just be unfoutunate timing."" % (callid, peerid))",Called from remote to ask if a call made to here is still in progress.,"s and the a an of to from for in_.().(),()) )))))))()))'))'])])])))])}))}},}.}/]),],'],']']:():: or this all any sum sorted iter count len",13.219921227675515
"summarize: def initialize_archive_manager(self, archive_path):
        """"""
        """"""
        if archive_path == """":
            raise ValueError(""Archive manager path cannot be empty"")

        if archive_path:
            self.archive_manager = perceval.archive.ArchiveManager(archive_path)",Initialize the archive manager.,"s the to for and a an of from in_.].'].').'),),)),)]))))')'])'))]))]),],:]]]:]] labels idsidsidpathname1 k jjkKPya",5.437520844943938
"summarize: def find(self, *args, **kwargs):
        """"""
        
        """"""
        op = operator.methodcaller('find', *args, **kwargs)
        return self._wrap_node(op)",Find a single Node among this Node's descendants.,s the a an of to from for and in_.24536NoneFalseTruenpos os syssysmainloopconnectionenginesessionqueryurlpathnameinfodebugwarningwarnraiseprintloglogger,15.087874972548617
"summarize: def _rotate(self, samples):
    """"""""""""
    event_dim = (
        tf.compat.dimension_value(self.event_shape[0]) or
        self._event_shape_tensor()[0])
    basis = tf.concat([[1.], tf.zeros([event_dim - 1], dtype=self.dtype)],
                      axis=0),
    u = tf.nn.l2_normalize(basis - self.mean_direction, axis=-1)
    return samples - 2 * tf.reduce_sum(
        input_tensor=samples * u, axis=-1, keepdims=True) * u",Applies a Householder rotation to `samples`.,"s the to a in of.nameself and ((=_'TheNone return Retrieveficiencysummarize CalculaterersAddRunsSetzes associated through all or on-,'"""" NoneineryUpdateamed representing",5.6463443461928104
"summarize: def read(self):
        """"""
        """"""
        try:
            data = load(open(self.file), Loader)
        except (UnicodeDecodeError, YAMLError) as e:
            raise InvalidConfig(self.file, '{}'.format(e))
        try:
            validate(data, SCHEMA)
        except ValidationError as e:
            raise InvalidConfig(self.file, e)
        self.update(data)",Parse and validate the config file. The read data is accessible as a dictionary in this instance,dir or an a thes 1236NoneFalseTrue by of in to with from for and_- c n numnummaxsizeidpathindexinfodebugwarnwarningexceptionresponserequest,14.98893556886195
